year,state,value
2020,Johor,33856
2020,Kedah,22693
2020,Kelantan,14951
2020,Melaka,42861
2020,Negeri Sembilan,41254
2020,Pahang,38010
2020,Pulau Pinang,55774
2020,Perak,31626
2020,Perlis,21099
2020,Selangor,48607
2020,Terengganu,29462
2020,Sabah,24652
2020,Sarawak,55931
2020,Kuala Lumpur,108791
2020,Labuan,80393
2021,Johor,36474
2021,Kedah,23575
2021,Kelantan,15584
2021,Melaka,44610
2021,Negeri Sembilan,44495
2021,Pahang,41313
2021,Pulau Pinang,59685
2021,Perak,34338
2021,Perlis,21508
2021,Selangor,51930
2021,Terengganu,30901
2021,Sabah,29960
2021,Sarawak,65971
2021,Kuala Lumpur,111292
2021,Labuan,81345
2022,Johor,41046
2022,Kedah,26079
2022,Kelantan,16550
2022,Melaka,50407
2022,Negeri Sembilan,49861
2022,Pahang,47259
2022,Pulau Pinang,69789
2022,Perak,37080
2022,Perlis,23134
2022,Selangor,59794
2022,Terengganu,32219
2022,Sabah,35860
2022,Sarawak,81342
2022,Kuala Lumpur,126772
2022,Labuan,85349
2023,Johor,41902
2023,Kedah,26353
2023,Kelantan,16836
2023,Melaka,53922
2023,Negeri Sembilan,51709
2023,Pahang,46084
2023,Pulau Pinang,72586
2023,Perak,37170
2023,Perlis,24004
2023,Selangor,62492
2023,Terengganu,31111
2023,Sabah,31147
2023,Sarawak,72411
2023,Kuala Lumpur,131038
2023,Labuan,83596
